X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16
0.91,0,0.91,0,0.91,0,0.91,0,0.91,1995,0.91,2026,0.91,2010,0.91,1981,0.91,0,0.91,0,0.91,0,0.91,0,0.91,2001,0.91,2001,0.91,2001,0.91,2001
0.92,0,0.92,0,0.92,0,0.92,0,0.92,2020,0.92,1990,0.92,1960,0.92,2014,0.92,0,0.92,0,0.92,0,0.92,0,0.92,2001,0.92,2001,0.92,2001,0.92,2001
0.93,0,0.93,0,0.93,0,0.93,0,0.93,1960,0.93,2012,0.93,2072,0.93,1993,0.93,0,0.93,0,0.93,0,0.93,0,0.93,2001,0.93,2001,0.93,2001,0.93,2001
0.94,0,0.94,0,0.94,0,0.94,0,0.94,2009,0.94,2006,0.94,1991,0.94,2010,0.94,0,0.94,0,0.94,0,0.94,0,0.94,2001,0.94,2001,0.94,2001,0.94,2001
0.95,0,0.95,0,0.95,0,0.95,0,0.95,1984,0.95,2015,0.95,1980,0.95,1983,0.95,0,0.95,0,0.95,0,0.95,0,0.95,2001,0.95,2001,0.95,2001,0.95,2001
0.96,0,0.96,0,0.96,0,0.96,0,0.96,1977,0.96,2018,0.96,1976,0.96,1993,0.96,0,0.96,0,0.96,0,0.96,0,0.96,2001,0.96,2001,0.96,2001,0.96,2001
0.97,0,0.97,0,0.97,0,0.97,0,0.97,2032,0.97,2014,0.97,2023,0.97,1993,0.97,0,0.97,0,0.97,0,0.97,0,0.97,2001,0.97,2001,0.97,2001,0.97,2001
0.98,0,0.98,0,0.98,0,0.98,0,0.98,1999,0.98,1988,0.98,2022,0.98,2002,0.98,0,0.98,0,0.98,0,0.98,0,0.98,2001,0.98,2001,0.98,2001,0.98,2001
0.99,0,0.99,0,0.99,0,0.99,0,0.99,1992,0.99,1994,0.99,1995,0.99,1997,0.99,0,0.99,0,0.99,0,0.99,0,0.99,2001,0.99,2001,0.99,2001,0.99,2001
1,0,1,0,1,0,1,0,1,1986,1,1986,1,2004,1,1986,1,0,1,0,1,0,1,0,1,2001,1,2001,1,2001,1,2001
1.01,0,1.01,0,1.01,0,1.01,0,1.01,1998,1.01,2118,1.01,1986,1.01,2073,1.01,0,1.01,0,1.01,0,1.01,0,1.01,2001,1.01,2001,1.01,2001,1.01,2001
1.02,0,1.02,0,1.02,0,1.02,0,1.02,2004,1.02,1982,1.02,1984,1.02,1985,1.02,0,1.02,0,1.02,0,1.02,0,1.02,2001,1.02,2001,1.02,2001,1.02,2001
1.03,0,1.03,0,1.03,0,1.03,0,1.03,1970,1.03,2039,1.03,2075,1.03,2016,1.03,0,1.03,0,1.03,0,1.03,0,1.03,2001,1.03,2001,1.03,2001,1.03,2001
1.04,0,1.04,0,1.04,0,1.04,0,1.04,2108,1.04,1951,1.04,2058,1.04,1944,1.04,0,1.04,0,1.04,0,1.04,0,1.04,2001,1.04,2001,1.04,2001,1.04,2001
1.05,0,1.05,0,1.05,0,1.05,0,1.05,1982,1.05,1917,1.05,2043,1.05,2007,1.05,0,1.05,0,1.05,0,1.05,0,1.05,2001,1.05,2001,1.05,2001,1.05,2001
1.06,0,1.06,0,1.06,0,1.06,0,1.06,1996,1.06,2009,1.06,2030,1.06,1992,1.06,0,1.06,0,1.06,0,1.06,0,1.06,2001,1.06,2001,1.06,2001,1.06,2001
1.07,0,1.07,0,1.07,0,1.07,0,1.07,1995,1.07,1991,1.07,1928,1.07,2011,1.07,0,1.07,0,1.07,0,1.07,0,1.07,2001,1.07,2001,1.07,2001,1.07,2001
1.08,0,1.08,0,1.08,0,1.08,0,1.08,2009,1.08,1999,1.08,2002,1.08,2004,1.08,0,1.08,0,1.08,0,1.08,0,1.08,2001,1.08,2001,1.08,2001,1.08,2001
1.09,0,1.09,0,1.09,0,1.09,0,1.09,1992,1.09,2005,1.09,1988,1.09,1985,1.09,0,1.09,0,1.09,0,1.09,0,1.09,2001,1.09,2001,1.09,2001,1.09,2001
1.1,0,1.1,0,1.1,0,1.1,0,1.1,1925,1.1,2064,1.1,2089,1.1,1905,1.1,0,1.1,0,1.1,0,1.1,0,1.1,2001,1.1,2001,1.1,2001,1.1,2001
1.11,0,1.11,0,1.11,0,1.11,0,1.11,2002,1.11,1998,1.11,1978,1.11,2016,1.11,0,1.11,0,1.11,0,1.11,0,1.11,2001,1.11,2001,1.11,2001,1.11,2001
1.12,0,1.12,0,1.12,0,1.12,0,1.12,2095,1.12,2016,1.12,2008,1.12,2069,1.12,0,1.12,0,1.12,0,1.12,0,1.12,2001,1.12,2001,1.12,2001,1.12,2001
1.13,0,1.13,0,1.13,0,1.13,0,1.13,1949,1.13,1992,1.13,1984,1.13,2083,1.13,0,1.13,0,1.13,0,1.13,0,1.13,2001,1.13,2001,1.13,2001,1.13,2001
1.14,0,1.14,0,1.14,0,1.14,0,1.14,2004,1.14,1996,1.14,1924,1.14,2005,1.14,0,1.14,0,1.14,0,1.14,0,1.14,2001,1.14,2001,1.14,2001,1.14,2001
1.15,0,1.15,0,1.15,0,1.15,0,1.15,2001,1.15,2002,1.15,2060,1.15,1973,1.15,0,1.15,0,1.15,0,1.15,0,1.15,2001,1.15,2001,1.15,2001,1.15,2001
1.16,0,1.16,0,1.16,0,1.16,0,1.16,1952,1.16,1995,1.16,2016,1.16,1987,1.16,0,1.16,0,1.16,0,1.16,0,1.16,2001,1.16,2001,1.16,2001,1.16,2001
1.17,0,1.17,0,1.17,0,1.17,0,1.17,1980,1.17,1988,1.17,1972,1.17,2069,1.17,0,1.17,0,1.17,0,1.17,0,1.17,2001,1.17,2001,1.17,2001,1.17,2001
1.18,0,1.18,0,1.18,0,1.18,0,1.18,1994,1.18,2026,1.18,1990,1.18,1961,1.18,0,1.18,0,1.18,0,1.18,0,1.18,2001,1.18,2001,1.18,2001,1.18,2001
1.19,0,1.19,0,1.19,0,1.19,0,1.19,1957,1.19,1954,1.19,1993,1.19,2036,1.19,0,1.19,0,1.19,0,1.19,0,1.19,2001,1.19,2001,1.19,2001,1.19,2001
1.2,0,1.2,0,1.2,0,1.2,0,1.2,1992,1.2,1985,1.2,1985,1.2,2011,1.2,0,1.2,0,1.2,0,1.2,0,1.2,2001,1.2,2001,1.2,2001,1.2,2001
1.21,0,1.21,0,1.21,0,1.21,0,1.21,1977,1.21,1953,1.21,1972,1.21,1986,1.21,0,1.21,0,1.21,0,1.21,0,1.21,2001,1.21,2001,1.21,2001,1.21,2001
1.22,0,1.22,0,1.22,0,1.22,0,1.22,1990,1.22,2126,1.22,1946,1.22,1991,1.22,0,1.22,0,1.22,0,1.22,0,1.22,2001,1.22,2001,1.22,2001,1.22,2001
1.23,0,1.23,0,1.23,0,1.23,0,1.23,1996,1.23,1962,1.23,1992,1.23,1966,1.23,0,1.23,0,1.23,0,1.23,0,1.23,2001,1.23,2001,1.23,2001,1.23,2001
1.24,0,1.24,0,1.24,0,1.24,0,1.24,1980,1.24,1962,1.24,2001,1.24,2006,1.24,0,1.24,0,1.24,0,1.24,0,1.24,2001,1.24,2001,1.24,2001,1.24,2001
1.25,0,1.25,0,1.25,0,1.25,0,1.25,2019,1.25,2005,1.25,2010,1.25,2005,1.25,0,1.25,0,1.25,0,1.25,0,1.25,2001,1.25,2001,1.25,2001,1.25,2001
1.26,0,1.26,0,1.26,0,1.26,0,1.26,1993,1.26,2092,1.26,1987,1.26,2047,1.26,0,1.26,0,1.26,0,1.26,0,1.26,2001,1.26,2001,1.26,2001,1.26,2001
1.27,0,1.27,0,1.27,0,1.27,0,1.27,1993,1.27,2092,1.27,1987,1.27,2047,1.27,0,1.27,0,1.27,0,1.27,0,1.27,2001,1.27,2001,1.27,2001,1.27,2001
1.28,0,1.28,0,1.28,0,1.28,0,1.28,1999,1.28,2108,1.28,1981,1.28,1991,1.28,0,1.28,0,1.28,0,1.28,0,1.28,2001,1.28,2001,1.28,2001,1.28,2001
1.29,0,1.29,0,1.29,0,1.29,0,1.29,2014,1.29,1971,1.29,1939,1.29,2010,1.29,0,1.29,0,1.29,0,1.29,0,1.29,2001,1.29,2001,1.29,2001,1.29,2001
1.3,0,1.3,0,1.3,0,1.3,0,1.3,2000,1.3,1994,1.3,2007,1.3,1985,1.3,0,1.3,0,1.3,0,1.3,0,1.3,2001,1.3,2001,1.3,2001,1.3,2001
