X1;Y6;Y8;Y16
6,76;2006;2025;2001
6,77;1989;1983;2001
6,78;2011;2015;2001
6,79;2021;1978;2001
6,8;1982;1993;2001
6,81;1988;2022;2001
6,82;2019;1911;2001
6,83;1989;1977;2001
6,84;1976;1974;2001
6,85;2010;1952;2001
6,86;1988;2081;2001
6,87;1982;1992;2001
6,88;2038;2038;2001
6,89;2009;2006;2001
6,9;1993;2298;2001
6,91;2015;1976;2001
6,92;1981;2003;2001
6,93;1935;2003;2001
6,94;2022;2002;2001
6,95;2023;1980;2001
6,96;1987;2031;2001
6,97;2000;2008;2001
6,98;1985;1997;2001
6,99;1971;2016;2001
7;2015;1997;2001
7,01;1998;2005;2001
7,02;2018;2052;2001
7,03;2039;1995;2001
7,04;2012;1991;2001
7,05;1950;2004;2001
7,06;2013;1997;2001
7,07;1989;2187;2001
7,08;1980;1947;2001
7,09;2012;2026;2001
7,1;1998;1965;2001
7,11;2034;2022;2001
7,12;2008;2012;2001
7,13;1998;2016;2001
7,14;1960;2135;2001
7,15;2001;1955;2001
7,16;2036;2031;2001
7,17;1999;1996;2001
7,18;1985;2008;2001
7,19;2004;1990;2001
7,2;2039;2001;2001
7,21;1980;1998;2001
7,22;2017;1994;2001
7,23;1995;1975;2001
7,24;2005;2069;2001
7,25;2016;2004;2001
7,26;1964;1964;2001
7,27;2349;2048;2001
7,28;2031;1980;2001
7,29;1995;2007;2001
7,3;1991;2011;2001
7,31;1981;1982;2001
7,32;1995;1997;2001
7,33;1941;2111;2001
7,34;2008;1986;2001
7,35;1969;1990;2001
7,36;2006;1999;2001
7,37;1990;1992;2001
7,38;1989;2072;2001
7,39;2003;2009;2001
7,4;2004;2001;2001
7,41;1999;1999;2001
7,42;1978;2008;2001
7,43;2004;1988;2001
7,44;1998;1899;2001
7,45;2081;1997;2001
7,46;1999;2014;2001
7,47;1996;1967;2001
7,48;1985;2021;2001
7,49;1991;1976;2001
7,5;1994;2004;2001
7,51;2013;2000;2001
7,52;2006;2058;2001
7,53;1980;2039;2001
7,54;1986;1996;2001
7,55;1938;1998;2001
7,56;2013;1991;2001
7,57;2011;2008;2001
7,58;2017;1972;2001
7,59;2004;2000;2001
7,6;1981;1995;2001
7,61;1992;2012;2001
7,62;2039;2029;2001
7,63;1980;2014;2001
7,64;1995;2034;2001
7,65;1967;1992;2001
7,66;1993;1983;2001
7,67;2016;1991;2001
7,68;1995;1954;2001
